parameter, user, system, elpased, timeit diffwl,2.55,0.06,02.61,
rl,2.80,0.14,02.95,
rl,2.87,0.12,03.00,
rl,2.87,0.11,02.99,
rl,2.86,0.10,02.97,
rl,2.86,0.11,02.97,
rl,2.80,0.15,02.95,
rl,2.85,0.13,02.98,
rl,2.88,0.14,03.02,
rl,2.85,0.12,02.98,
rl,2.90,0.07,02.98,
rl,2.86,0.11,02.97,
rl,2.84,0.11,02.95,
rl,2.96,0.11,03.09,
rl,2.85,0.12,02.98,
rl,2.85,0.11,02.97,
rl,2.81,0.16,02.98,
rl,2.89,0.12,03.01,
rl,2.91,0.07,02.99,
rl,2.85,0.12,02.97,
rl,2.90,0.13,03.04,
rl,2.82,0.15,02.98,
rl,2.85,0.12,02.98,
rl,2.88,0.11,02.99,
rl,2.88,0.07,02.96,
rl,2.81,0.15,02.97,
rl,2.88,0.10,02.99,
rl,2.89,0.10,02.99,
rl,2.88,0.15,03.05,
rl,2.88,0.10,02.99,
rl,2.88,0.12,03.00,
rl,2.87,0.08,02.97,
rl,2.86,0.13,03.00,
rl,2.90,0.13,03.03,
rl,2.89,0.08,02.97,
rl,2.83,0.12,02.96,
rl,2.92,0.12,03.05,
rl,2.88,0.08,02.97,
rl,2.88,0.10,02.99,
rl,2.86,0.11,02.98,
wa,4.92,0.04,04.97,
wa,4.96,0.06,05.82,
